"train/epoch","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","roberta-base_S3&A_0_r4_drop0.1_+0_ - _step","roberta-base_S3&A_0_r4_drop0.1_+0_ - _step__MIN","roberta-base_S3&A_0_r4_drop0.1_+0_ - _step__MAX","roberta-base_S3&A_0_r4_drop0.1_+0_ - train/loss","roberta-base_S3&A_0_r4_drop0.1_+0_ - train/loss__MIN","roberta-base_S3&A_0_r4_drop0.1_+0_ - train/loss__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - train/loss__MAX","roberta-base_A&Q_0_r4_drop0.1_+0_ - _step","roberta-base_A&Q_0_r4_drop0.1_+0_ - _step__MIN","roberta-base_A&Q_0_r4_drop0.1_+0_ - _step__MAX","roberta-base_A&Q_0_r4_drop0.1_+0_ - train/loss","roberta-base_A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","roberta-base_A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","roberta-base_A&Q_3_r4_drop0.1_+3_ - _step","roberta-base_A&Q_3_r4_drop0.1_+3_ - _step__MIN","roberta-base_A&Q_3_r4_drop0.1_+3_ - _step__MAX","roberta-base_A&Q_3_r4_drop0.1_+3_ - train/loss","roberta-base_A&Q_3_r4_drop0.1_+3_ - train/loss__MIN","roberta-base_A&Q_3_r4_drop0.1_+3_ - train/loss__MAX","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - _step","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - _step__MIN","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - _step__MAX","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - train/loss","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MIN","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MAX","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MIN","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - train/loss__MAX","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - _step","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - _step__MIN","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - _step__MAX","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - train/loss","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MIN","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MAX","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MIN","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - train/loss__MAX"
"6.4","","","","","","","","","","","","","","","","","","","","","","","","","27","27","27","0.2434","0.2434","0.2434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.45","21","21","21","0.3312","0.3312","0.3312","21","21","21","0.348","0.348","0.348","","","","","","","21","21","21","0.3328","0.3328","0.3328","","","","","","","","","","","","","","","","","","","","","","","","","21","21","21","0.3231","0.3231","0.3231","21","21","21","0.3446","0.3446","0.3446","","","","","",""
"6.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","48","48","0.3603","0.3603","0.3603","48","48","48","0.3942","0.3942","0.3942","","","","","","","","","","","","","","","","","","","","","","","",""
"6.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","49","49","0.4045","0.4045","0.4045","49","49","49","0.3662","0.3662","0.3662","","","","","","","","","","","","","","","","","","","","","","","",""
"6.69","","","","","","","","","","","","","","","","","","","","","","","","","28","28","28","0.2743","0.2743","0.2743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","0.3943","0.3943","0.3943","50","50","50","0.3263","0.3263","0.3263","","","","","","","","","","","","","","","","","","","","","","","",""
"6.85","22","22","22","0.3513","0.3513","0.3513","22","22","22","0.3455","0.3455","0.3455","","","","","","","22","22","22","0.3165","0.3165","0.3165","","","","","","","","","","","","","","","","","","","","","","","","","22","22","22","0.3347","0.3347","0.3347","22","22","22","0.3578","0.3578","0.3578","","","","","",""
"6.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","51","51","0.3577","0.3577","0.3577","51","51","51","0.3492","0.3492","0.3492","","","","","","","","","","","","","","","","","","","","","","","",""
"6.98","","","","","","","","","","","","","","","","","","","","","","","","","29","29","29","0.2463","0.2463","0.2463","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","53","53","0.3612","0.3612","0.3612","53","53","53","0.29","0.29","0.29","","","","","","","","","","","","","","","","","","","","","","","",""
"7.25","24","24","24","0.3245","0.3245","0.3245","24","24","24","0.337","0.337","0.337","","","","","","","24","24","24","0.3122","0.3122","0.3122","","","","","","","","","","","","","","","","","","","","","","","","","24","24","24","0.3178","0.3178","0.3178","24","24","24","0.3399","0.3399","0.3399","","","","","",""
"7.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","54","54","0.3217","0.3217","0.3217","54","54","54","0.3033","0.3033","0.3033","","","","","","","","","","","","","","","","","","","","","","","",""
"7.27","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","0.2397","0.2397","0.2397","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7.35","","","","","","","","","","","","","13","13","13","0.3277","0.3277","0.3277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","55","55","0.362","0.362","0.362","55","55","55","0.2966","0.2966","0.2966","","","","","","","","","","","","","","","","","","","","","","","",""
"7.56","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","0.2524","0.2524","0.2524","56","56","56","0.3098","0.3098","0.3098","56","56","56","0.3539","0.3539","0.3539","","","","","","","","","","","","","","","","","","","","","","","",""
"7.66","25","25","25","0.3198","0.3198","0.3198","25","25","25","0.3377","0.3377","0.3377","","","","","","","25","25","25","0.3319","0.3319","0.3319","","","","","","","","","","","","","","","","","","","","","","","","","25","25","25","0.3194","0.3194","0.3194","25","25","25","0.335","0.335","0.335","","","","","",""
"7.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","57","57","0.3754","0.3754","0.3754","57","57","57","0.3039","0.3039","0.3039","","","","","","","","","","","","","","","","","","","","","","","",""
"7.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","0.3826","0.3826","0.3826","","","","","","","","","","","","","","","","","",""
"7.85","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","0.2461","0.2461","0.2461","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","58","58","0.3698","0.3698","0.3698","58","58","58","0.2655","0.2655","0.2655","","","","","","","","","","","","","","","","","","","","","","","",""
"8.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","60","0.3332","0.3332","0.3332","60","60","60","0.3414","0.3414","0.3414","","","","","","","","","","","","","","","","","","","","","","","",""
"8.06","27","27","27","0.3344","0.3344","0.3344","27","27","27","0.331","0.331","0.331","","","","","","","27","27","27","0.333","0.333","0.333","","","","","","","","","","","","","","","","","","","","","","","","","27","27","27","0.3321","0.3321","0.3321","27","27","27","0.339","0.339","0.339","","","","","",""
"8.14","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","0.2594","0.2594","0.2594","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","61","61","0.325","0.325","0.325","61","61","61","0.1995","0.1995","0.1995","","","","","","","","","","","","","","","","","","","","","","","",""
"8.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","62","62","0.3184","0.3184","0.3184","62","62","62","0.2965","0.2965","0.2965","","","","","","","","","","","","","","","","","","","","","","","",""
"8.4","","","","","","","","","","","","","15","15","15","0.3261","0.3261","0.3261","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8.44","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","0.2367","0.2367","0.2367","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8.46","28","28","28","0.332","0.332","0.332","28","28","28","0.3275","0.3275","0.3275","","","","","","","28","28","28","0.317","0.317","0.317","","","","","","","","","","","","","","","","","","","","","","","","","28","28","28","0.3145","0.3145","0.3145","28","28","28","0.3294","0.3294","0.3294","","","","","",""
"8.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","63","63","0.3257","0.3257","0.3257","63","63","63","0.2665","0.2665","0.2665","","","","","","","","","","","","","","","","","","","","","","","",""
"8.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","0.428","0.428","0.428"
"8.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","64","64","0.2711","0.2711","0.2711","64","64","64","0.2399","0.2399","0.2399","","","","","","","","","","","","","","","","","","","","","","","",""
"8.73","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","0.244","0.244","0.244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65","65","65","0.3073","0.3073","0.3073","65","65","65","0.3058","0.3058","0.3058","","","","","","","","","","","","","","","","","","","","","","","",""
"8.86","29","29","29","0.3213","0.3213","0.3213","29","29","29","0.3427","0.3427","0.3427","","","","","","","29","29","29","0.3024","0.3024","0.3024","","","","","","","","","","","","","","","","","","","","","","","","","29","29","29","0.3164","0.3164","0.3164","29","29","29","0.3342","0.3342","0.3342","","","","","",""
"8.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","66","66","0.3197","0.3197","0.3197","66","66","66","0.2675","0.2675","0.2675","","","","","","","","","","","","","","","","","","","","","","","",""
"9.02","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","0.2479","0.2479","0.2479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","68","68","0.2677","0.2677","0.2677","68","68","68","0.2993","0.2993","0.2993","","","","","","","","","","","","","","","","","","","","","","","",""
"9.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","69","69","0.3228","0.3228","0.3228","69","69","69","0.1947","0.1947","0.1947","","","","","","","","","","","","","","","","","","","","","","","",""
"9.27","31","31","31","0.3059","0.3059","0.3059","31","31","31","0.329","0.329","0.329","","","","","","","31","31","31","0.3223","0.3223","0.3223","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","0.3227","0.3227","0.3227","31","31","31","0.321","0.321","0.321","","","","","",""
"9.31","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","0.2303","0.2303","0.2303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","70","0.2829","0.2829","0.2829","70","70","70","0.2352","0.2352","0.2352","","","","","","","","","","","","","","","","","","","","","","","",""
"9.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","0.3555","0.3555","0.3555","","","","","","","","","","","","","","","","","",""
"9.45","","","","","","","","","","","","","17","17","17","0.3132","0.3132","0.3132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","71","71","0.2898","0.2898","0.2898","71","71","71","0.243","0.243","0.243","","","","","","","","","","","","","","","","","","","","","","","",""
"9.6","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","0.239","0.239","0.239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.67","32","32","32","0.3144","0.3144","0.3144","32","32","32","0.3537","0.3537","0.3537","","","","","","","32","32","32","0.3195","0.3195","0.3195","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","0.3071","0.3071","0.3071","32","32","32","0.3164","0.3164","0.3164","","","","","",""
"9.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","72","72","0.243","0.243","0.243","72","72","72","0.2353","0.2353","0.2353","","","","","","","","","","","","","","","","","","","","","","","",""
"9.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","73","73","0.2628","0.2628","0.2628","73","73","73","0.2854","0.2854","0.2854","","","","","","","","","","","","","","","","","","","","","","","",""
"9.89","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","0.2491","0.2491","0.2491","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","74","74","0.3175","0.3175","0.3175","74","74","74","0.2189","0.2189","0.2189","","","","","","","","","","","","","","","","","","","","","","","",""
"10.07","34","34","34","0.3186","0.3186","0.3186","34","34","34","0.3022","0.3022","0.3022","","","","","","","34","34","34","0.3129","0.3129","0.3129","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","0.2923","0.2923","0.2923","34","34","34","0.3223","0.3223","0.3223","","","","","",""
"10.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","76","76","0.3145","0.3145","0.3145","76","76","76","0.2047","0.2047","0.2047","","","","","","","","","","","","","","","","","","","","","","","",""
"10.18","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","0.2401","0.2401","0.2401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","77","77","0.2432","0.2432","0.2432","77","77","77","0.2226","0.2226","0.2226","","","","","","","","","","","","","","","","","","","","","","","",""
"10.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","78","78","0.2411","0.2411","0.2411","78","78","78","0.1974","0.1974","0.1974","","","","","","","","","","","","","","","","","","","","","","","",""
"10.47","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","0.2482","0.2482","0.2482","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.48","35","35","35","0.3055","0.3055","0.3055","35","35","35","0.3211","0.3211","0.3211","","","","","","","35","35","35","0.3156","0.3156","0.3156","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","0.3073","0.3073","0.3073","35","35","35","0.3041","0.3041","0.3041","","","","","",""
"10.5","","","","","","","","","","","","","19","19","19","0.3017","0.3017","0.3017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","79","79","0.26","0.26","0.26","79","79","79","0.2017","0.2017","0.2017","","","","","","","","","","","","","","","","","","","","","","","",""
"10.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","80","80","0.2667","0.2667","0.2667","80","80","80","0.2565","0.2565","0.2565","","","","","","","","","","","","","","","","","","","","","","","",""
"10.76","","","","","","","","","","","","","","","","","","","","","","","","","46","46","46","0.2358","0.2358","0.2358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.88","36","36","36","0.2967","0.2967","0.2967","36","36","36","0.3252","0.3252","0.3252","","","","","","","36","36","36","0.3043","0.3043","0.3043","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","0.299","0.299","0.299","36","36","36","0.3267","0.3267","0.3267","","","","","",""
"10.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","81","81","0.2172","0.2172","0.2172","81","81","81","0.2476","0.2476","0.2476","","","","","","","","","","","","","","","","","","","","","","","",""
"10.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","0.3454","0.3454","0.3454","","","","","","","","","","","","","","","","","",""
"11.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","83","83","0.2298","0.2298","0.2298","83","83","83","0.1882","0.1882","0.1882","","","","","","","","","","","","","","","","","","","","","","","",""
"11.05","","","","","","","","","","","","","","","","","","","","","","","","","48","48","48","0.2346","0.2346","0.2346","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","84","84","0.1664","0.1664","0.1664","84","84","84","0.1706","0.1706","0.1706","","","","","","","","","","","","","","","","","","","","","","","",""
"11.28","38","38","38","0.3221","0.3221","0.3221","38","38","38","0.3255","0.3255","0.3255","","","","","","","38","38","38","0.3194","0.3194","0.3194","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","0.3017","0.3017","0.3017","38","38","38","0.3006","0.3006","0.3006","","","","","",""
"11.34","","","","","","","","","","","","","","","","","","","","","","","","","49","49","49","0.2403","0.2403","0.2403","85","85","85","0.2238","0.2238","0.2238","85","85","85","0.1964","0.1964","0.1964","","","","","","","","","","","","","","","","","","","","","","","",""
"11.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","0.3916","0.3916","0.3916"
"11.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","86","86","0.2331","0.2331","0.2331","86","86","86","0.181","0.181","0.181","","","","","","","","","","","","","","","","","","","","","","","",""
"11.55","","","","","","","","","","","","","21","21","21","0.3039","0.3039","0.3039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11.63","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","0.2493","0.2493","0.2493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","87","87","0.2257","0.2257","0.2257","87","87","87","0.1793","0.1793","0.1793","","","","","","","","","","","","","","","","","","","","","","","",""
"11.68","39","39","39","0.3036","0.3036","0.3036","39","39","39","0.3254","0.3254","0.3254","","","","","","","39","39","39","0.3083","0.3083","0.3083","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","0.2851","0.2851","0.2851","39","39","39","0.3053","0.3053","0.3053","","","","","",""
"11.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","88","88","0.2302","0.2302","0.2302","88","88","88","0.2283","0.2283","0.2283","","","","","","","","","","","","","","","","","","","","","","","",""
"11.93","","","","","","","","","","","","","","","","","","","","","","","","","51","51","51","0.2371","0.2371","0.2371","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","89","89","0.2195","0.2195","0.2195","89","89","89","0.1659","0.1659","0.1659","","","","","","","","","","","","","","","","","","","","","","","",""
"12.09","41","41","41","0.3097","0.3097","0.3097","41","41","41","0.3164","0.3164","0.3164","","","","","","","41","41","41","0.2964","0.2964","0.2964","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","0.2984","0.2984","0.2984","41","41","41","0.3066","0.3066","0.3066","","","","","",""
"12.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","91","91","0.2533","0.2533","0.2533","91","91","91","0.1818","0.1818","0.1818","","","","","","","","","","","","","","","","","","","","","","","",""
"12.22","","","","","","","","","","","","","","","","","","","","","","","","","53","53","53","0.2256","0.2256","0.2256","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","92","92","0.197","0.197","0.197","92","92","92","0.1524","0.1524","0.1524","","","","","","","","","","","","","","","","","","","","","","","",""
"12.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","93","93","0.2007","0.2007","0.2007","93","93","93","0.2192","0.2192","0.2192","","","","","","","","","","","","","","","","","","","","","","","",""
"12.49","42","42","42","0.2914","0.2914","0.2914","42","42","42","0.3159","0.3159","0.3159","","","","","","","42","42","42","0.3096","0.3096","0.3096","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","0.2733","0.2733","0.2733","42","42","42","0.2868","0.2868","0.2868","","","","","",""
"12.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","19","19","0.3335","0.3335","0.3335","","","","","","","","","","","","","","","","","",""
"12.51","","","","","","","","","","","","","","","","","","","","","","","","","54","54","54","0.2276","0.2276","0.2276","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","94","94","0.2089","0.2089","0.2089","94","94","94","0.1383","0.1383","0.1383","","","","","","","","","","","","","","","","","","","","","","","",""
"12.61","","","","","","","","","","","","","23","23","23","0.3057","0.3057","0.3057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","95","95","0.1428","0.1428","0.1428","95","95","95","0.1519","0.1519","0.1519","","","","","","","","","","","","","","","","","","","","","","","",""
"12.8","","","","","","","","","","","","","","","","","","","","","","","","","55","55","55","0.2396","0.2396","0.2396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","96","96","0.2009","0.2009","0.2009","96","96","96","0.1372","0.1372","0.1372","","","","","","","","","","","","","","","","","","","","","","","",""
"12.89","43","43","43","0.3203","0.3203","0.3203","43","43","43","0.3251","0.3251","0.3251","","","","","","","43","43","43","0.3078","0.3078","0.3078","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","0.3028","0.3028","0.3028","43","43","43","0.3026","0.3026","0.3026","","","","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","98","98","0.2234","0.2234","0.2234","98","98","98","0.1932","0.1932","0.1932","","","","","","","","","","","","","","","","","","","","","","","",""
"13.09","","","","","","","","","","","","","","","","","","","","","","","","","57","57","57","0.2236","0.2236","0.2236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","99","99","0.1809","0.1809","0.1809","99","99","99","0.1487","0.1487","0.1487","","","","","","","","","","","","","","","","","","","","","","","",""
"13.3","45","45","45","0.2927","0.2927","0.2927","45","45","45","0.3085","0.3085","0.3085","","","","","","","45","45","45","0.3058","0.3058","0.3058","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","0.2868","0.2868","0.2868","45","45","45","0.2933","0.2933","0.2933","","","","","",""
"13.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","0.1449","0.1449","0.1449","100","100","100","0.1353","0.1353","0.1353","","","","","","","","","","","","","","","","","","","","","","","",""
"13.38","","","","","","","","","","","","","","","","","","","","","","","","","58","58","58","0.2246","0.2246","0.2246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","101","101","0.168","0.168","0.168","101","101","101","0.1451","0.1451","0.1451","","","","","","","","","","","","","","","","","","","","","","","",""
"13.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","102","102","0.1725","0.1725","0.1725","102","102","102","0.1466","0.1466","0.1466","","","","","","","","","","","","","","","","","","","","","","","",""
"13.66","","","","","","","","","","","","","25","25","25","0.2847","0.2847","0.2847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13.67","","","","","","","","","","","","","","","","","","","","","","","","","59","59","59","0.2465","0.2465","0.2465","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13.7","46","46","46","0.3247","0.3247","0.3247","46","46","46","0.3115","0.3115","0.3115","","","","","","","46","46","46","0.3111","0.3111","0.3111","","","","","","","","","","","","","","","","","","","","","","","","","46","46","46","0.2753","0.2753","0.2753","46","46","46","0.2737","0.2737","0.2737","","","","","",""
"13.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103","103","103","0.1512","0.1512","0.1512","103","103","103","0.1474","0.1474","0.1474","","","","","","","","","","","","","","","","","","","","","","","",""
"13.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","104","104","0.1625","0.1625","0.1625","104","104","104","0.138","0.138","0.138","","","","","","","","","","","","","","","","","","","","","","","",""
"13.96","","","","","","","","","","","","","","","","","","","","","","","","","60","60","60","0.2406","0.2406","0.2406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","106","106","0.1557","0.1557","0.1557","106","106","106","0.1466","0.1466","0.1466","22","22","22","0.3255","0.3255","0.3255","","","","","","","","","","","","","","","","","",""
"14.1","48","48","48","0.2761","0.2761","0.2761","48","48","48","0.324","0.324","0.324","","","","","","","48","48","48","0.3128","0.3128","0.3128","","","","","","","","","","","","","","","","","","","","","","","","","48","48","48","0.2976","0.2976","0.2976","48","48","48","0.307","0.307","0.307","","","","","",""
